Code,Description,PricePVC,Price,Note
N,None - Standard,,0,
V,"High viscosity - Equivalent to former ""P"" series mRoy - NOTE: Max Rating 350 psi - Always uses large head - N/A plgr code ""C"" or plastic heads",,381,
S,"Slurry - Hardened 440 C Balls and 440 Seats (316L SS liquid ends only, Single-ball suction check valve)",,630,
D,Degas - PVC and PVDF only,1525,2689,Price For PVDF  2689
G,G7 wetted parts - Metallic liquid ends only,,3019,
U,UHMW Polyethylene Diaphragm and Check valve back up rings,,Consult Factory,
